TIME;LATITUDE;LONGITUDE;ALTITUDE;VEHICLE_ID;BAROMETRIC_PRESSURE;ENGINE_COOLANT_TEMP;FUEL_LEVEL;ENGINE_LOAD;AMBIENT_AIR_TEMP;ENGINE_RPM;INTAKE_MANIFOLD_PRESSURE;MAF;Term Fuel Trim Bank 1;FUEL_ECONOMY;Long Term Fuel Trim Bank 2;FUEL_TYPE;AIR_INTAKE_TEMP;FUEL_PRESSURE;SPEED;Short Term Fuel Trim Bank 2;Short Term Fuel Trim Bank 1;ENGINE_RUNTIME;THROTTLE_POS;DTC_NUMBER;TROUBLE_CODES;TIMING_ADVANCE;EQUIV_RATIO
1,51336E+12;-58.321.307;-3.520.429.461;46.0;s11;100kPa;82C;74,50%;79,20%;28C;2124RPM;61kPa;24,77g/s;;;;;36C;;48km/h;;-1,60%;00:03:02;34,90%;MIL is OFF0 codes;;66,70%;1,00%
1,51336E+12;-58.323.103;-3.520.380.397;52.0;s11;100kPa;83C;74,10%;78,40%;28C;2617RPM;44kPa;30,96g/s;;;;;36C;;60km/h;;-4,70%;00:03:08;36,10%;MIL is OFF0 codes;;68,20%;1,00%
1,51336E+12;-583.251.443;-3.520.323.709;49.0;s11;100kPa;83C;73,70%;42,00%;28C;3005RPM;35kPa;18,58g/s;;;;;36C;;64km/h;;-10,20%;00:03:12;32,20%;MIL is OFF0 codes;;75,70%;1,00%
1,51336E+12;-58.328.462;-3.520.269.621;45.0;s11;100kPa;82C;73,70%;37,30%;28C;3156RPM;63kPa;18,38g/s;;;;;36C;;65km/h;;0,00%;00:03:16;32,50%;MIL is OFF0 codes;;75,30%;1,00%
1,51336E+12;-583.324.508;-3.520.219.432;44.0;s11;100kPa;82C;73,30%;76,10%;28C;1798RPM;47kPa;19,77g/s;;;;;36C;;67km/h;;3,10%;00:03:20;33,30%;MIL is OFF0 codes;;66,30%;1,00%
1,51336E+12;-583.366.445;-3.520.166.951;43.0;s11;100kPa;83C;72,90%;37,60%;28C;1818RPM;32kPa;9,99g/s;;;;;36C;;65km/h;;4,70%;00:03:24;28,60%;MIL is OFF0 codes;;72,50%;1,00%
1,51336E+12;-583.405.966;-3.520.115.577;42.0;s11;100kPa;83C;72,50%;32,20%;28C;1765RPM;35kPa;8,33g/s;;;;;37C;;63km/h;;1,60%;00:03:28;27,10%;MIL is OFF0 codes;;74,10%;1,00%
1,51336E+12;-583.445.455;-3.520.065.432;42.0;s11;100kPa;83C;72,50%;49,40%;28C;1721RPM;43kPa;12,56g/s;;;;;36C;;63km/h;;-0,80%;00:03:32;30,20%;MIL is OFF0 codes;;71,40%;1,00%
1,51336E+12;-583.484.672;-3.520.015.419;40.0;s11;100kPa;82C;72,20%;42,70%;28C;1716RPM;34kPa;10,69g/s;;;;;37C;;63km/h;;-0,80%;00:03:36;29,00%;MIL is OFF0 codes;;71,80%;1,00%
1,51336E+12;-583.523.808;-3.519.964.901;39.0;s11;100kPa;82C;72,20%;39,20%;28C;1759RPM;33kPa;9,78g/s;;;;;37C;;67km/h;;3,90%;00:03:40;28,60%;MIL is OFF0 codes;;72,50%;1,00%
1,51336E+12;-58.356.454;-3.519.910.902;34.0;s11;100kPa;82C;71,80%;38,00%;28C;1859RPM;31kPa;10,49g/s;;;;;36C;;68km/h;;3,90%;00:03:44;28,60%;MIL is OFF0 codes;;72,90%;1,00%
1,51336E+12;-583.606.541;-3.519.857.154;32.0;s11;100kPa;82C;71,40%;34,50%;28C;1867RPM;31kPa;9,47g/s;;;;;36C;;67km/h;;3,10%;00:03:48;28,20%;MIL is OFF0 codes;;73,70%;1,00%
